,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,3408,USDC,USDC,usd-coin,14917,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24027752526.76537,24027752526.76537,False,,6,,,,2023-11-14T01:59:00.000Z,1.0000998165015773,5910622531.569135,73.3365,0.01765585,-0.00162549,0.01110991,-0.00679682,-0.00139999,-0.00775947,24030150892.963356,1.7284,24030150892.96,,2023-11-14T01:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-11-14 09:00:40.335438
6,5426,Solana,SOL,solana,546,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,422402824.22940254,562465830.1857917,True,,7,,,,2023-11-14T01:59:00.000Z,54.27471121026659,2998595075.785681,3.3768,3.08980667,-7.50818564,30.74911023,145.53175326,186.87945407,126.93631239,22925791299.45182,1.6487,30527670498.98,,2023-11-14T01:59:00.000Z,,,,,,2023-11-14 09:00:40.335438
7,2010,Cardano,ADA,cardano,970,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35268823727.238,36350273102.308,False,,8,,,,2023-11-14T01:58:00.000Z,0.35457928104416786,446870852.5852912,18.5801,0.96404213,-8.12411003,-2.22828246,43.16833779,40.65274762,25.9537328,12505594160.47754,0.8994,15956067646.99,,2023-11-14T01:58:00.000Z,,,,,,2023-11-14 09:00:40.335438
8,74,Dogecoin,DOGE,dogecoin,824,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141819216383.70526,141819216383.70526,True,,9,,,,2023-11-14T01:59:00.000Z,0.07425725683552531,850129378.1224595,29.9035,0.82186417,-6.08766733,-1.42580891,24.38881152,19.60483894,4.44766067,10531105975.217741,0.7574,10531105975.22,,2023-11-14T01:59:00.000Z,,,,,,2023-11-14 09:00:40.335438
9,1958,TRON,TRX,tron,868,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88678203962.38066,88678215072.69897,True,,10,71659659264.0,7609184911.397064,,2023-11-14T01:58:00.000Z,0.10618505571404142,292816906.61409587,32.7476,0.04826652,-2.63726045,9.00162711,24.51637057,27.21003412,38.65596949,9416300028.36652,0.6771,9416301208.12,,2023-11-14T01:58:00.000Z,,,,,,2023-11-14 09:00:40.335438
10,3890,Polygon,MATIC,polygon,1065,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",10000000000.0,9250438353.92012,10000000000.0,False,,11,,,,2023-11-14T01:58:00.000Z,0.8838964807988282,985800374.4409448,5.1762,2.51736154,-3.45025734,19.48489124,70.11642731,68.79207419,38.9040275,8176429906.876499,0.588,8838964807.99,,2023-11-14T01:58:00.000Z,,,,,,2023-11-14 09:00:40.335438
11,1975,Chainlink,LINK,chainlink,1429,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,556849970.4527867,1000000000.0,False,,12,,,,2023-11-14T01:58:00.000Z,14.655005187576869,917148505.3561958,18.2115,2.75571985,-8.97531098,12.27561236,98.92391784,137.80235749,108.92171224,8160639205.687615,0.5869,14655005187.58,,2023-11-14T01:58:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2023-11-14 09:00:40.335438
12,11419,Toncoin,TON,toncoin,171,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,13,3414166606.0,8038481555.296516,,2023-11-14T01:59:00.000Z,2.354449118320653,45683020.1577412,-25.4886,-0.06342025,-5.85912674,-3.32377614,22.27285817,23.60953308,57.45194851,8080215299.868534,0.5812,11884219725.92,,2023-11-14T01:59:00.000Z,,,,,,2023-11-14 09:00:40.335438
13,6636,Polkadot,DOT,polkadot-new,611,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1281093641.739619,1377542922.2024229,True,,14,,,,2023-11-14T01:58:00.000Z,5.325534838145451,337644993.801102,-10.2951,1.12335677,-8.06983771,7.23507675,42.1440203,30.83637396,10.60834588,6822508820.010968,0.4906,7336152823.23,,2023-11-14T01:58:00.000Z,,,,,,2023-11-14 09:00:40.335438
14,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1504,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",,163841.87097067,163841.87097067,False,,15,,,,2023-11-14T01:59:00.000Z,36312.08712269388,229902278.3397315,21.4202,0.22545037,-2.45334749,3.89487254,35.06832018,36.97055163,24.4433424,5949440293.032139,0.4279,5949440293.03,,2023-11-14T01:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-11-14 09:00:40.335438
0,1,Bitcoin,BTC,bitcoin,10552,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19541606.0,19541606.0,False,,1,,,,2023-11-14T02:01:00.000Z,36345.12778581282,19170751927.783447,62.0466,0.2087314,-2.36128686,3.98361783,35.11817628,37.01465216,24.40594083,710242167210.0066,51.0751,763247683502.07,,2023-11-14T02:01:00.000Z,,,,,,2023-11-14 09:01:43.342657
1,1027,Ethereum,ETH,ethereum,7776,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120260281.43503532,120260281.43503532,True,,2,,,,2023-11-14T02:01:00.000Z,2043.338212084915,14336046102.330553,82.6568,0.37268476,-1.00274837,7.88642705,31.30101859,25.41640906,11.73985567,245732428452.29376,17.675,245732428452.29,,2023-11-14T02:01:00.000Z,,,,,,2023-11-14 09:01:43.342657
2,825,Tether USDt,USDT,tether,65639,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,86804455790.35953,90623656723.10593,True,,3,,,,2023-11-14T02:00:00.000Z,1.000413748262471,48123646658.841934,43.3461,0.03814278,-0.02383648,0.00764086,0.04027251,0.0291322,0.14455538,86840370983.11754,6.2479,90661152103.61,,2023-11-14T02:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-11-14 09:01:43.342657
